TRAILER DO RICARDO,(32) 3281-1967,,,,RUA JOSÉ VIRGÍLIO,190,Centro,LANCHE,,,
TRIBUNAL REGIONAL ELEITORAL ,(32) 3281-1122,,,,Pc Juscelino Kubitschek,124,Centro,JUSTIÇA,,,
TYLEI CALÇADOS,(32) 3281-1018,,,,RUA DR MANOEL DE PAULA,8,Centro,VESTUÁRIO,,,
VAGÃO LANCHES,(32) 3281-1920,,,,RUA DR MANOEL DE PAULA,17,Centro,LANCHE,,,
VIDRAÇARIA DALLAS,(32) 99965-8299,,,,Rua Alfreto Catão,320,Centro,VIDRAÇARIA ,,,
VIDRAÇARIA ESQUADRIA DE ALUMINIO NELSON,(32) 3281-1689,,,,Rua Alfreto Catão,320,Centro,VIDRAÇARIA ,,,
VIMARAVILHA,(32) 3281-1390,,,,RUA DAS VIOLETAS,248,SANTA TEREZINHA,TRansporte,,,
Zoome Multimarcas,(32) 3281-1010,,,,Pc Juscelino Kubitschek,129,Centro,Roupas,zoomemm@outlool.com.br,,
ZUQUINHA TERRAPLANAGEM,(32) 3281-1104,(32) 99938-1105,(32) 98460-4813,,RUA 7 DE SETEMBRO,179,Centro,TERRAPLANAGEM,,,
Bar rota 267,(32) 3281-2222,,,,Rua Manoel Otaviano Ferreira ,470,Barreira,Bar,,,
Cantinho do Acaí,(32) 3281-1386,,,, R. Dr. Manoel de Paula,124,Centro,Sorveteria,,,
Associação dos Municípios do Circuito Turístico Serras de Ibitipoca,(32) 98463-4607,(32) 98855-0231,,,Rua José Guilherme Delgado,s/n,Barreira,Associação,,,
Alternativa Bar,,,,,,,,,,,
